state,0,1,2,3,4,5,6
   x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  o x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  ox x   ,0.0,0.0,0.0,0.0,0.0,-0.6,0.0
  ox x  o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 x ox x  o ,0.0,0.0,0.0,0.0,-1.2,0.0,0.0
 x ox x o o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 x ox x ox o ,0.0,-1.7999999999999998,0.0,0.0,0.0,0.0,0.0
 xo ox x ox o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 xox ox x ox o ,0.0,0.0,0.0,0.0,0.0,0.0,-3.3
 xox ox x ox o o,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 xox ox x ox ox o,0.0,0.0,0.0,0.0,-4.2,0.0,0.0
 xox ox x oxo ox o,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o  x x   ,0.0,0.0,0.0,-1.2,0.0,0.0,0.0
o  x xo   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o x x xo   ,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
o xo x xo   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo xxx      ,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5
oo xxx     o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    x  o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  x     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  xo     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xo x      ,0.0,0.0,0.0,0.0,0.0,-0.6,-0.6
xo x    o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo xxx    o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo x x x    ,0.0,0.0,-0.738,0.0,0.6,0.0,0.0
oo x x x o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox xx x x o   ,0.0,0.0,-0.6,0.0,0.0,0.0,0.0
ooox xx xo x o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox xxx xo x o   ,0.0,0.0,0.0,-2.1,0.0,0.0,0.0
ooox xxx xo xo o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 x      ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 x    o  ,0.762,0.6,0.0,0.0,0.0,0.0,0.0
 x x   o  ,-0.6,0.0,0.0,0.0,0.0,0.0,0.0
o x x   o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o  x     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo  xxx     ,0.0,0.0,0.0,-2.55,0.0,0.0,0.0
oo  xxx o    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   x    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  o x    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o  o x x x  ,0.0,0.0,-0.8999999999999999,0.0,0.0,0.0,0.0
o  oo x x x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
      x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o      x ,0.0,0.0,0.0,0.6,0.0,0.0,0.0
o     x x ,0.162,0.0,0.0,0.6,0.0,0.0,0.162
o   o  x x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo   o x x xx ,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,0.0
oo   oo x x xx ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ox x      ,-0.6,0.0,0.0,0.0,0.0,0.0,0.0
oxo x      ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 o   x   ,0.0,0.0,0.6,0.0,0.0,0.0,0.0
o o   xxx   ,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
o oo   xxx   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o      xx ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo      xx ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo     x x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   x  o  ,0.0,0.0,0.0,0.0,0.6,0.0,0.0
   o x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo     xxx  ,0.0,0.0,0.0,0.0,-1.5,0.0,-1.5
