state,0,1,2,3,4,5,6,7,8
eeeexeeee,-5.110306852120967,-6.084794910121308,-4.948726576315683,-5.560781437797901,0.0,-5.943361228861235,-4.976390971834972,-6.076901193904566,-4.7677148177298125
oeeexeeee,0.0,11.0059459092,18.06637365656764,17.92917059824446,0.0,0.0,3.6,4.534439999999999,8.152264061526004
eeeexoeee,10.281814501389206,10.716068894034104,6.018034158868169,9.927829853555558,0.0,0.0,15.072453289364091,7.6695623881283055,14.118997567461651
eeeeeeeex,0.0,-0.7599,0.0,-0.3,0.0,-0.3,0.0,-0.51,0.0
eeeeeeeox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeexeeox,0.0,-6.12,0.0,-5.609999999999999,0.0,0.0,0.0,0.0,0.0
eoeexeeox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeeeeeee,31.019599698318203,29.915050164751698,30.67893622450612,29.88824783503596,31.679124232342527,30.09106900154837,30.10142790913724,30.08940928182681,30.737316840846105
eeeeoeeex,21.40273988237264,16.66361937093747,29.122219783933925,21.27908729764369,0.0,27.05599183661249,26.36555516622989,27.477720397839263,0.0
eeexoeeex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeeeexee,0.0,-0.219,0.0,-0.3,0.3,0.0,0.0,0.0,0.0
eeexeeeee,0.0,0.162,0.4619999999999999,0.0,0.6,0.0,0.0,0.162,0.0
eeexoeeee,15.319514594601545,6.054905637369208,6.478009236411648,0.0,0.0,9.731276099262583,9.7492999854069,8.347772275319159,8.441077244292803
eeexoeoex,0.0,0.0,5.1,0.0,0.0,0.0,0.0,-1.323,0.0
eexxoeoex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xexxoooox,0.0,-2670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxxoooox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeeoexee,21.7065664565764,20.512384654567327,18.43677481083705,27.427811151047035,0.0,21.806253675316366,0.0,23.01196833355306,28.44333012999343
eexeoexee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oexeoexee,0.0,0.0,0.0,0.0,0.0,1.458,0.0,0.0,5.4
oexeoexxe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xoxooexee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xoxooexex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xeeeeeeee,0.0,-0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eexeeeeee,0.0,-0.51,0.0,-0.3,0.0,-0.3,0.0,-0.3,0.0
xoxxeeoeo,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0
xoxxexoeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xoxxoxoeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2700.0,0.0
xoxxoxoxo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oexeoxxee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oexeoexex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xeeoeoxee,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxeoeoxee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeeoexex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeexeoee,0.0,3.3,0.0,0.0,0.0,0.0,0.0,4.191,0.0
eexexeoee,0.0,0.348,0.0,0.0,0.0,0.0,0.0,2.748,2.4
eexexeoeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.609999999999999,0.0
eexexeoxo,-0.3,0.0,0.0,0.0,0.0,-5.1,0.0,0.0,0.0
eexexooxo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoeexeeex,0.0,0.0,0.0,-5.609999999999999,0.0,-5.609999999999999,-5.1,0.0,0.0
eoeoxeeex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoeoxexex,0.0,0.0,-5.1,0.0,0.0,0.0,0.0,0.0,0.0
eoooxexex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeexeeoe,14.427547435076695,10.613337496581776,22.609367827863075,9.368735061384,0.0,20.737152213740607,15.713337496581774,0.0,16.637089756437685
eeeexexoe,0.0,0.0,0.0,-3.3,0.0,-5.609999999999999,0.0,0.0,-3.3
eeeexoxoe,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eexeeeeeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eexeeexeo,0.0,-2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoxeeexeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeeexeee,0.61287,0.1654749,0.381,0.0,0.0,0.0,0.0,0.1654749,0.4654748999999999
oeeeexeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
oeexexeee,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,0.0,0.0
oeexexoee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oeeexeeex,0.0,0.0,2.4,0.0,0.0,-0.3,3.048,0.0,0.0
oeeexoeex,0.0,4.814699999999999,5.609999999999999,2.1147,0.0,0.0,0.0,0.0,0.0
oeeexoxex,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0
oeoexoxex,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoxexeoee,0.0,0.0,0.0,5.609999999999999,0.0,0.0,0.0,0.0,0.0
eexeeeeoe,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0
eexeeexoe,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0
eexeeoxoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoeeeeeex,0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.272,0.0
ooxexeeex,0.0,0.0,0.0,0.0,0.0,0.0,-0.657,0.0,0.0
ooxexeoex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oeeeeeeex,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0
oeoexeeex,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
oxoexeeex,0.0,0.0,0.0,-0.3,0.0,-5.1,0.0,0.0,0.0
oxoexoeex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoxexeeee,0.0,0.0,0.0,-8.3589,0.0,-3.3,-0.3,0.0,0.0
eoxoxeeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoxexoeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeoexeeee,4.771154699999999,5.35862546763,0.0,0.0,0.0,10.0840060145601,0.8999999999999999,0.0,3.843
oxooxexex,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0
oxooxoxex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeexeeeo,5.505981151409999,3.543,4.55661,7.70148399,0.0,4.5302847,0.0,4.5302847,0.0
eeeexexeo,0.0,-5.1,0.0,-3.0,0.0,-0.6,0.0,-3.3,0.0
eoeexexeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eexoeeeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eexoeeeex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eexooeeex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoeexxeee,-0.51,0.0,0.0,-0.3,0.0,0.0,-4.59,-3.3,0.0
eoeoxxeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
xoeexeeee,0.0,0.0,-3.3,-5.609999999999999,0.0,-7.226999999999999,0.0,0.0,-0.3
xoeexoeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exeexoeee,0.0,0.0,0.0,-3.3,0.0,0.0,0.0,-0.51,0.0
exeoxoeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoeexeeee,16.968390675381155,0.0,11.828772020122798,4.572,0.0,13.329573482352911,10.00568796,8.00493086220876,0.0
eoeexeoex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeoexeeex,2.4,-0.6,0.0,-5.15088,0.0,-3.3,0.0,-4.452,0.0
eeoexoeex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xoeoxeeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exeexoeoe,6.0,0.0,7.619999999999999,2.6574,0.0,0.0,5.6574,0.0,0.0
exxexoeoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exxexoooe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeoxeeex,2.1,0.0,-2.433,0.0,0.0,0.0,-0.0329999999999999,-4.6461,0.0
oeeoxeeex,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
oeeoxexex,0.0,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooeoxexex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeoxeeee,16.342282006619378,19.45637552690838,16.310458976037303,0.0,0.0,15.271464727120206,18.684029725443256,18.82637673290377,5.01861
eeeoxeoex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxeexoeex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxeexooex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eexexeeeo,0.0,0.0,0.0,-1.5808799999999998,0.0,-4.5084,5.256,0.8191200000000001,0.0
eexexoeee,0.0,-5.609999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-3.3
eexexoeeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xeeexeoee,0.0,0.0,-3.9984,-2.652,0.0,-4.452,0.0,0.0,2.4
xeeexooee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeoexxeee,0.0,-0.51,0.0,0.0,0.0,0.0,-2.7,0.0,-2.7
oeoexxeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657
eeeoxexee,-3.3,0.0,0.0,0.0,0.0,-3.6,0.0,-3.3,0.0
oeeoxexee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeoexeeox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
