Solver Algorithm,Labyrinth Dimensions [px*px],Discount,Living Reward,Runtime [s],Convergence iterations,Max. Iterations
MDP_Value,10x10,0.930,-1.000,1.738,106,1000
MDP_Policy,10x10,0.930,-1.000,0.001,1,1000
MDP_Policy,10x10,0.930,-1.000,0.001,1,1000
MDP_Policy,10x10,0.930,-1.000,1.092,67,1000
MDP_Policy,10x10,0.930,-1.000,1.089,67,1000
MDP_Policy,10x10,0.930,-1.000,1.628,99,1000
MDP_Policy,10x10,0.930,-1.000,1.639,100,1000
MDP_Policy,10x10,0.930,-1.000,1.302,80,1000
MDP_Policy,10x10,0.930,-1.000,1.500,91,1000
MDP_Policy,10x10,0.930,-1.000,1.545,94,1000
MDP_Value,25x20,0.946,-1.000,2.509,152,1000
MDP_Value,25x20,0.946,-2.000,2.505,152,1000
MDP_Value,25x20,0.946,-1.013,2.503,152,1000
MDP_Value,25x20,0.946,-0.506,2.493,152,1000
MDP_Value,25x20,0.946,0.506,2.494,152,1000
MDP_Value,25x20,0.946,0.986,2.515,152,1000
MDP_Value,25x20,0.946,2.000,2.502,152,1000
MDP_Policy,25x20,0.930,-1.000,2.232,135,1000
MDP_Value,24x28,0.930,-1.000,1.971,120,1000
MDP_Policy,24x28,0.930,-1.000,2.725,167,1000
MDP_Value,24x28,0.930,-1.000,1.975,120,1000
MDP_Value,24x28,0.933,-0.266,2.053,126,1000
MDP_Value,24x28,0.933,-1.013,2.069,126,1000
MDP_Value,24x28,0.600,-1.013,0.281,18,1000
MDP_Value,24x28,0.700,-2.000,0.398,25,1000
MDP_Value,24x28,0.960,-2.000,3.489,212,1000
MDP_Value,24x28,0.926,-2.000,1.876,114,1000
MDP_Value,24x28,0.946,-2.000,2.594,158,1000
MDP_Policy,24x28,0.930,-1.000,2.237,137,1000
MDP_Value,24x28,0.946,-2.000,2.598,158,1000
MDP_Value,24x28,0.946,-0.399,2.601,158,1000
MDP_Value,24x28,0.920,-0.399,1.725,105,1000
MDP_Policy,24x28,0.930,-1.000,3.032,185,1000
MDP_Value,24x28,0.000,2.000,0.017,2,1000
MDP_Value,24x28,0.200,2.000,0.103,7,1000
MDP_Value,24x28,0.846,0.000,0.857,53,1000
MDP_Value,24x28,0.920,0.000,1.730,105,1000
MDP_Value,24x28,0.920,0.000,1.728,105,1000
MDP_Value,24x28,0.920,0.000,8.271,500,500
MDP_Value,24x28,0.926,0.000,8.277,500,500
MDP_Value,24x28,0.900,0.000,8.263,500,500
MDP_Value,24x28,0.920,0.000,8.271,500,500
MDP_Value,24x28,0.946,0.000,8.286,500,500
MDP_Value,24x28,0.980,0.000,8.273,500,500
MDP_Value,24x28,0.953,0.000,8.252,500,500
MDP_Value,24x29,0.973,-0.853,5.326,322,500
MDP_Value,24x29,0.886,-0.853,1.189,73,500
MDP_Value,24x29,0.933,-0.853,2.094,127,500
MDP_Value,24x29,0.933,-0.346,2.090,127,500
MDP_Value,24x29,0.926,-0.346,5.112,310,500
MDP_Value,24x29,0.940,-0.346,2.317,141,500
MDP_Value,24x29,0.940,-0.346,2.318,141,500
MDP_Value,24x29,0.940,-0.346,2.317,141,500
MDP_Value,24x29,0.940,-0.346,2.324,141,500
MDP_Value,24x29,0.940,-0.346,2.319,141,500
MDP_Policy,35x35,0.93,-1.0,3.099,188,1000
MDP_Policy,35x35,0.93,-1.0,3.026,184,1000
MDP_Policy,35x35,0.93,-1.0,3.071,188,1000
MDP_Value,50x50,0.973,-0.853,5.606,342,500
MDP_Value,50x50,0.973,-0.853,5.619,342,500
MDP_Value,50x50,0.973,-0.853,5.612,342,500
MDP_Value,50x50,0.973,-0.853,5.628,342,500
MDP_Policy,50x50,0.930,-1.000,3.094,188,1000
MDP_Policy,50x50,0.930,-1.000,3.172,193,1000
MDP_Policy,50x50,0.930,-1.000,3.113,190,1000
MDP_Policy,50x50,0.930,-1.000,3.132,191,1000
MDP_Policy,50x50,0.930,-1.000,3.099,189,1000
MDP_Policy,50x50,0.930,-1.000,3.063,186,1000
MDP_Policy,50x50,0.930,-1.000,3.128,191,1000
