Solver Algorithm,Labyrinth Dimensions [px*px],Solution Depth [units],Runtime [s],Maze Coverage [%],Tile Efficiency [units],Max Explored Depth [units]
BFS,9x8,7,0.233,19.44%,2.0000,7
DFS,9x8,7,2.400,200.00%,20.5714,18
A_Star_1,9x8,7,0.183,15.28%,1.5714,7
A_Star_2,9x8,7,0.167,13.89%,1.4286,7
BFS,9x8,5,0.200,16.67%,2.4000,5
DFS,9x8,5,2.400,200.00%,28.8000,31
A_Star_1,9x8,5,0.100,8.33%,1.2000,5
A_Star_2,9x8,5,0.150,12.50%,1.8000,5
BFS,9x8,9,0.650,54.17%,4.3333,9
DFS,9x8,9,2.433,202.78%,16.2222,15
A_Star_1,9x8,9,0.333,27.78%,2.2222,9
A_Star_2,9x8,9,0.267,22.22%,1.7778,9
BFS,9x8,17,1.167,97.22%,4.1176,17
DFS,9x8,17,2.467,205.56%,8.7059,17
A_Star_1,9x8,17,0.850,70.83%,3.0000,17
A_Star_2,9x8,17,0.983,81.94%,3.4706,17
BFS,9x8,18,0.983,81.94%,3.2778,18
DFS,9x8,18,1.967,163.89%,6.5556,18
A_Star_1,9x8,18,0.833,69.44%,2.7778,18
A_Star_2,9x8,18,0.800,66.67%,2.6667,18
BFS,9x8,11,0.867,72.22%,4.7273,11
DFS,9x8,11,2.500,208.33%,13.6364,18
A_Star_1,9x8,11,0.567,47.22%,3.0909,11
BFS,9x8,12,0.450,37.50%,2.2500,12
DFS,9x8,12,0.900,75.00%,4.5000,12
A_Star_1,9x8,12,0.300,25.00%,1.5000,12
A_Star_2,9x8,12,0.317,26.39%,1.5833,12
BFS,9x8,12,0.700,58.33%,3.5000,12
DFS,9x8,12,2.267,188.89%,11.3333,23
A_Star_1,9x8,12,0.433,36.11%,2.1667,12
A_Star_2,9x8,12,0.450,37.50%,2.2500,12
BFS,9x8,6,0.217,18.06%,2.1667,6
BFS,9x8,9,0.450,37.50%,3.0000,9
DFS,9x8,9,2.100,175.00%,14.0000,21
A_Star_1,9x8,9,0.383,31.94%,2.5556,9
BFS,9x8,12,0.967,80.56%,4.8333,12
DFS,9x8,12,2.367,197.22%,11.8333,14
A_Star_1,9x8,12,0.717,59.72%,3.5833,12
A_Star_2,9x8,12,0.800,66.67%,4.0000,12
