Solver Algorithm,Labyrinth Dimensions [px*px],Solution Depth [units],Runtime [s],Maze Coverage [%],Tile Efficiency [units],Max Explored Depth [units]
BFS,9x8,7,0.233,19.44%,2.0000,7
DFS,9x8,7,2.400,200.00%,20.5714,18
A_Star_1,9x8,7,0.183,15.28%,1.5714,7
A_Star_2,9x8,7,0.167,13.89%,1.4286,7
BFS,9x8,5,0.200,16.67%,2.4000,5
DFS,9x8,5,2.400,200.00%,28.8000,31
A_Star_1,9x8,5,0.100,8.33%,1.2000,5
A_Star_2,9x8,5,0.150,12.50%,1.8000,5
BFS,9x8,9,0.650,54.17%,4.3333,9
DFS,9x8,9,2.433,202.78%,16.2222,15
A_Star_1,9x8,9,0.333,27.78%,2.2222,9
A_Star_2,9x8,9,0.267,22.22%,1.7778,9
BFS,9x8,17,1.167,97.22%,4.1176,17
DFS,9x8,17,2.467,205.56%,8.7059,17
A_Star_1,9x8,17,0.850,70.83%,3.0000,17
A_Star_2,9x8,17,0.983,81.94%,3.4706,17
BFS,9x8,18,0.983,81.94%,3.2778,18
DFS,9x8,18,1.967,163.89%,6.5556,18
A_Star_1,9x8,18,0.833,69.44%,2.7778,18
A_Star_2,9x8,18,0.800,66.67%,2.6667,18
BFS,9x8,11,0.867,72.22%,4.7273,11
DFS,9x8,11,2.500,208.33%,13.6364,18
A_Star_1,9x8,11,0.567,47.22%,3.0909,11
BFS,9x8,12,0.450,37.50%,2.2500,12
DFS,9x8,12,0.900,75.00%,4.5000,12
A_Star_1,9x8,12,0.300,25.00%,1.5000,12
A_Star_2,9x8,12,0.317,26.39%,1.5833,12
BFS,9x8,12,0.700,58.33%,3.5000,12
DFS,9x8,12,2.267,188.89%,11.3333,23
A_Star_1,9x8,12,0.433,36.11%,2.1667,12
A_Star_2,9x8,12,0.450,37.50%,2.2500,12
BFS,9x8,6,0.217,18.06%,2.1667,6
BFS,9x8,9,0.450,37.50%,3.0000,9
DFS,9x8,9,2.100,175.00%,14.0000,21
A_Star_1,9x8,9,0.383,31.94%,2.5556,9
BFS,9x8,12,0.967,80.56%,4.8333,12
DFS,9x8,12,2.367,197.22%,11.8333,14
A_Star_1,9x8,12,0.717,59.72%,3.5833,12
A_Star_2,9x8,12,0.800,66.67%,4.0000,12
BFS,10x10,23,1.117,67.00%,2.9130,23
BFS,10x10,9,0.717,43.00%,4.7778,9
DFS,10x10,9,2.700,162.00%,18.0000,25
DFS,10x10,9,2.700,162.00%,18.0000,25
A_Star_1,10x10,9,0.300,18.00%,2.0000,9
A_Star_2,10x10,9,0.433,26.00%,2.8889,9
BFS,10x10,14,0.665,41.00%,2.9286,14
BFS,20x30,61,6.000,60.00%,5.9016,61
DFS,20x30,61,20.233,202.33%,19.9016,116
A_Star_1,20x30,61,4.833,48.33%,4.7541,61
A_Star_2,20x30,61,4.867,48.67%,4.7869,61
BFS,20x30,50,5.117,51.17%,6.1400,50
DFS,20x30,50,19.950,199.50%,23.9400,80
A_Star_1,20x30,50,2.383,23.83%,2.8600,50
A_Star_2,20x30,50,2.283,22.83%,2.7400,50
BFS,20x30,3,0.117,1.17%,2.3333,3
DFS,20x30,3,20.400,204.00%,408.0000,81
A_Star_1,20x30,3,0.083,0.83%,1.6667,3
A_Star_2,20x30,3,0.100,1.00%,2.0000,3
BFS,20x30,90,8.883,88.83%,5.9222,90
DFS,20x30,90,20.333,203.33%,13.5556,105
A_Star_1,20x30,90,6.950,69.50%,4.6333,90
A_Star_2,20x30,90,7.983,79.83%,5.3222,90
BFS,20x30,86,8.167,81.67%,5.6977,86
DFS,20x30,86,20.367,203.67%,14.2093,98
A_Star_1,20x30,86,6.500,65.00%,4.5349,86
A_Star_2,20x30,86,6.883,68.83%,4.8023,86
BFS,20x30,42,3.883,38.83%,5.5476,42
DFS,20x30,42,20.100,201.00%,28.7143,105
A_Star_1,20x30,42,3.117,31.17%,4.4524,42
A_Star_2,20x30,42,3.067,30.67%,4.3810,42
BFS,20x30,28,1.200,12.00%,2.5714,28
DFS,20x30,28,20.517,205.17%,43.9643,121
A_Star_1,20x30,28,1.050,10.50%,2.2500,28
A_Star_2,20x30,28,1.017,10.17%,2.1786,28
BFS,20x30,36,4.100,41.00%,6.8333,36
DFS,20x30,36,18.400,184.00%,30.6667,88
A_Star_1,20x30,36,2.783,27.83%,4.6389,36
A_Star_2,20x30,36,2.233,22.33%,3.7222,36
BFS,20x30,36,4.100,41.00%,6.8333,36
DFS,20x30,36,18.400,184.00%,30.6667,88
A_Star_1,20x30,36,2.783,27.83%,4.6389,36
A_Star_2,20x30,36,2.233,22.33%,3.7222,36
BFS,20x30,51,5.367,53.67%,6.3137,51
DFS,20x30,51,20.267,202.67%,23.8431,113
A_Star_1,20x30,51,3.450,34.50%,4.0588,51
A_Star_2,20x30,51,3.583,35.83%,4.2157,51
BFS,40x40,117,17.433,65.38%,8.9402,117
DFS,40x40,117,53.233,199.62%,27.2991,159
A_Star_1,40x40,117,11.950,44.81%,6.1282,117
A_Star_2,40x40,117,13.650,51.19%,7.0000,117
BFS,40x40,135,26.633,99.88%,11.8370,135
DFS,40x40,135,54.933,206.00%,24.4148,136
A_Star_1,40x40,135,26.383,98.94%,11.7259,135
A_Star_2,40x40,135,26.400,99.00%,11.7333,135
BFS,40x40,117,20.167,75.62%,10.3419,117
DFS,40x40,117,54.667,205.00%,28.0342,169
A_Star_1,40x40,117,14.100,52.88%,7.2308,117
A_Star_2,40x40,117,16.400,61.50%,8.4103,117
BFS,40x40,141,19.367,72.62%,8.2411,141
DFS,40x40,141,54.933,206.00%,23.3759,252
A_Star_1,40x40,141,17.583,65.94%,7.4823,141
A_Star_2,40x40,141,17.600,66.00%,7.4894,141
BFS,40x40,76,12.033,45.12%,9.5000,76
DFS,40x40,76,54.700,205.12%,43.1842,201
A_Star_1,40x40,76,9.750,36.56%,7.6974,76
A_Star_2,40x40,76,10.250,38.44%,8.0921,76
BFS,40x40,31,6.250,23.44%,12.0968,31
DFS,40x40,31,54.633,204.88%,105.7419,105
A_Star_1,40x40,31,2.450,9.19%,4.7419,31
A_Star_2,40x40,31,2.850,10.69%,5.5161,31
BFS,40x40,66,8.717,32.69%,7.9242,66
DFS,40x40,66,31.050,116.44%,28.2273,112
A_Star_1,40x40,66,4.750,17.81%,4.3182,66
A_Star_2,40x40,66,6.683,25.06%,6.0758,66
BFS,40x40,42,10.183,38.19%,14.5476,42
DFS,40x40,42,54.900,205.88%,78.4286,87
A_Star_1,40x40,42,3.833,14.38%,5.4762,42
A_Star_2,40x40,42,3.550,13.31%,5.0714,42
BFS,40x40,135,19.633,73.62%,8.7259,135
DFS,40x40,135,50.317,188.69%,22.3630,166
A_Star_1,40x40,135,16.267,61.00%,7.2296,135
A_Star_2,40x40,135,16.900,63.38%,7.5111,135
BFS,44x44,129,12.850,39.82%,5.9767,129
DFS,44x44,129,26.933,83.47%,12.5271,135
A_Star_1,44x44,129,12.183,37.76%,5.6667,129
A_Star_2,44x44,129,11.650,36.11%,5.4186,129
BFS,44x44,120,27.983,86.73%,13.9917,120
DFS,44x44,120,61.033,189.15%,30.5167,138
A_Star_1,44x44,120,19.883,61.62%,9.9417,120
A_Star_2,44x44,120,17.867,55.37%,8.9333,120
BFS,44x44,138,23.433,72.62%,10.1884,138
DFS,44x44,138,66.383,205.73%,28.8623,188
A_Star_1,44x44,138,18.950,58.73%,8.2391,138
A_Star_2,44x44,138,20.883,64.72%,9.0797,138
BFS,44x44,246,29.917,92.72%,7.2967,246
DFS,44x44,246,65.917,204.29%,16.0772,257
A_Star_1,44x44,246,27.017,83.73%,6.5894,246
A_Star_2,44x44,246,27.100,83.99%,6.6098,246
BFS,44x44,115,15.367,47.62%,8.0174,115
DFS,44x44,115,66.367,205.68%,34.6261,187
A_Star_1,44x44,115,13.017,40.34%,6.7913,115
A_Star_2,44x44,115,11.983,37.14%,6.2522,115
BFS,44x44,124,21.733,67.36%,10.5161,124
DFS,44x44,124,65.900,204.24%,31.8871,168
A_Star_1,44x44,124,14.083,43.65%,6.8145,124
A_Star_2,44x44,124,18.367,56.92%,8.8871,124
BFS,44x44,79,13.833,42.87%,10.5063,79
DFS,44x44,79,65.233,202.17%,49.5443,182
A_Star_1,44x44,79,8.583,26.60%,6.5190,79
A_Star_2,44x44,79,6.883,21.33%,5.2278,79
BFS,44x44,113,22.817,70.71%,12.1150,113
DFS,44x44,113,66.233,205.27%,35.1681,155
A_Star_1,44x44,113,19.217,59.56%,10.2035,113
A_Star_2,44x44,113,21.100,65.39%,11.2035,113
BFS,44x44,79,11.833,36.67%,8.9873,79
DFS,44x44,79,65.900,204.24%,50.0506,173
A_Star_1,44x44,79,10.633,32.95%,8.0759,79
A_Star_2,44x44,79,10.800,33.47%,8.2025,79
BFS,44x44,218,30.517,94.58%,8.3991,218
DFS,44x44,218,66.100,204.86%,18.1927,254
A_Star_1,44x44,218,30.117,93.34%,8.2890,218
