Player 1,Player 2,Winner,n_moves
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),7
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Player 2 (MinMax),0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,0
Baseline,,Draw,9
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Player 1 (Baseline),0
Baseline,Baseline,Draw,0
Baseline,Baseline,Player 1 (Baseline),0
